-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,Lavender gray,Pale aqua,Gainsboro,Pastel gray,Candy pink,Copper rose,Pale chestnut,Pale chestnut,Timberwolf,Dark gray,Pale chestnut,Old rose,Timberwolf,Pale chestnut,Pale pink,Tea rose (rose),Ruddy pink,Pale chestnut,Ruddy pink,Old lavender,Ruddy pink,Tea rose (rose),Light coral,Turkish rose,Ash grey,Platinum,Ruddy pink,Ruddy pink,Pale silver,Light gray,Grullo,Turkish rose,Pastel blue,Gray (X11 gray)
1,Silver,Light gray,Platinum,Misty rose,Light carmine pink,Fuzzy Wuzzy,Ruddy pink,Tea rose (rose),Candy pink,Pale silver,Pale silver,Cinereous,Ash grey,Dark gray,Tea rose (rose),Misty rose,Turkish rose,Pale chestnut,Puce,Tea rose (rose),Gray (X11 gray),Pale chestnut,Dark gray,Pastel blue,Pastel gray,Platinum,Ash grey,Light coral,Gray (X11 gray),Lavender gray,Rose quartz,Turkish rose,Pastel blue,Tea rose (rose)
2,Tea rose (rose),Bubble gum,Lavender gray,AuroMetalSaurus,Electric blue,Pastel blue,Ruddy pink,Pale chestnut,Pale chestnut,Dark gray,Pale silver,Light gray,Pale chestnut,Tea rose (rose),Pale chestnut,Pale pink,Bazaar,Rosy brown,Old rose,Pastel gray,Misty rose,Pastel gray,Pale chestnut,Lavender gray,Puce,Platinum,Light coral,Light salmon pink,Pale silver,Gray (X11 gray),Pastel gray,Turkish rose,Pastel blue,Pale silver
3,Tea rose (rose),Linen,Ruddy pink,Tea rose (orange),Light coral,Light slate gray,Ruddy pink,Ruddy pink,Candy pink,Pale chestnut,Pale silver,White smoke,Mauvelous,Misty rose,Khaki (HTML/CSS) (Khaki),Almond,Old lavender,Grullo,Old rose,Tea rose (rose),Ruddy pink,Light gray,Old rose,Silver,Pastel blue,Platinum,Light coral,Mauvelous,Gray (X11 gray),Ash grey,Dark gray,Gainsboro,Pastel blue,Puce
4,Light gray,Pale pink,Pale silver,Munsell,Candy pink,Ash grey,Pale chestnut,Pale chestnut,Khaki (HTML/CSS) (Khaki),Taupe gray,Pale silver,Pale chestnut,Ruddy pink,Pale pink,Rose quartz,Pale silver,Light coral,Old rose,Old rose,Pale silver,Misty rose,Pale silver,Lavender gray,Cinereous,Pastel blue,Platinum,Ruddy pink,Light salmon pink,Ash grey,Pale silver,Pastel blue,Gainsboro,Pastel blue,Silver
5,Pastel blue,Almond,Cadet grey,AuroMetalSaurus,Pastel blue,Rose gold,Timberwolf,Platinum,Rosy brown,Taupe gray,Pale silver,Silver,Lavender gray,Tea rose (rose),Melon,Pale silver,Pastel purple,Khaki (HTML/CSS) (Khaki),Dark terra cotta,Pale silver,Tea rose (rose),Pale silver,Cinereous,Rosy brown,Pastel blue,Platinum,Light coral,Light coral,Ash grey,Pastel gray,Pastel blue,Platinum,Pastel purple,Cadet grey
6,Pastel blue,Timberwolf,Pale chestnut,Tea rose (rose),Pastel blue,Light slate gray,Pale silver,Light gray,Rosy brown,Gainsboro,Pale silver,Timberwolf,Ash grey,Pale silver,Misty rose,Ruddy pink,Pale chestnut,Rosy brown,Cinereous,Pale silver,Almond,Pale silver,Pearl Aqua,Dark gray,Pastel blue,Platinum,Light coral,Pale chestnut,Rosy brown,Rosy brown,Pastel blue,Gainsboro,Tea rose (rose),Ash grey
7,Pastel blue,Pastel gray,Pale chestnut,AuroMetalSaurus,Light gray,Cadet grey,Grullo,Ruddy pink,Rosy brown,Ash grey,Rosy brown,Pale chestnut,Ash grey,Pale silver,Almond,Rosy brown,Rosy brown,Rosy brown,Old rose,Tea rose (rose),Gainsboro,Light gray,Candy pink,Pastel blue,Pastel blue,Platinum,Ruddy pink,Pale chestnut,Rosy brown,Dark gray,Pastel blue,Gainsboro,Cambridge Blue,Tea rose (rose)
8,Pastel blue,Light coral,Battleship grey,Misty rose,Pastel blue,Moonstone blue,Tea rose (rose),Mauvelous,Rosy brown,Rosy brown,Candy pink,Timberwolf,Pastel gray,Tea rose (rose),Tea rose (rose),Light gray,Grullo,Cinereous,Copper rose,Tea rose (rose),Pale blue,Light gray,Rose quartz,Pastel blue,Pastel blue,Platinum,Light coral,Light coral,Rosy brown,Pastel blue,Pastel blue,Gainsboro,Puce,Pale chestnut
9,Pastel blue,Lavender gray,Rosy brown,White smoke,Pastel blue,Cadet grey,Pale chestnut,Isabelline,Cadet grey,Platinum,Cambridge Blue,White smoke,Almond,Pastel gray,Pale chestnut,Cambridge Blue,Taupe gray,Cinereous,Rose taupe,Pale pink,Dark gray,Timberwolf,Ruddy pink,Pastel blue,Melon,Platinum,Light coral,Mauvelous,Ruddy pink,Pale aqua,Pastel blue,Turkish rose,Dark gray,Pastel gray
